IDIndikator;skrIndikator;IDCOICOP;nCOICOP;IDTer;nTer;God+Mes;nVrTacka;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201009;2010/septembar;140.3;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201010;2010/oktobar;141.7;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201011;2010/novembar;143.7;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201012;2010/decembar;144.2;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201101;2011/januar;146.2;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201102;2011/februar;148.3;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201103;2011/mart;152.2;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201104;2011/april;153.8;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201105;2011/maj;154.4;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201106;2011/jun;154.0;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201107;2011/jul;153.2;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201108;2011/avgust;153.1;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201109;2011/septembar;153.3;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201110;2011/oktobar;154.0;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201111;2011/novembar;155.3;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201112;2011/decembar;154.3;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201201;2012/januar;154.4;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201202;2012/februar;155.7;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201203;2012/mart;157.4;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201204;2012/april;158.3;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201205;2012/maj;160.5;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201206;2012/jun;162.4;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201207;2012/jul;162.6;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201208;2012/avgust;165.3;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201209;2012/septembar;169.1;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201210;2012/oktobar;173.8;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201211;2012/novembar;173.8;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201212;2012/decembar;173.1;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201301;2013/januar;174.1;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201302;2013/februar;175.1;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201303;2013/mart;175.1;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201304;2013/april;176.5;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201305;2013/maj;176.5;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201306;2013/jun;178.2;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201307;2013/jul;176.6;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201308;2013/avgust;177.3;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201309;2013/septembar;177.3;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201310;2013/oktobar;177.6;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201311;2013/novembar;176.5;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201312;2013/decembar;176.9;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201401;2014/januar;179.5;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201402;2014/februar;179.7;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201403;2014/mart;179.1;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201404;2014/april;180.1;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201405;2014/maj;180.2;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201406;2014/jun;180.4;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201407;2014/jul;180.2;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201408;2014/avgust;179.9;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201409;2014/septembar;181.1;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201410;2014/oktobar;180.8;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201411;2014/novembar;180.8;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201412;2014/decembar;180.0;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201501;2015/januar;179.6;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201502;2015/februar;181.1;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201503;2015/mart;182.4;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201504;2015/april;183.4;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201505;2015/maj;182.9;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201506;2015/jun;183.8;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201507;2015/jul;182.1;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201508;2015/avgust;183.7;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201509;2015/septembar;183.7;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201510;2015/oktobar;183.3;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
